Di_nucl_changes,Weng_all,Monroe_all,genomic_di-nucl_counts,Weng_rate,Monroe_rate
AA>AC,18,37,13775613,1.31E-06,2.69E-06
AA>AG,39,75,13775613,2.83E-06,5.44E-06
AA>AT,35,98,13775613,2.54E-06,7.11E-06
AA>CA,19,37,13775613,1.38E-06,2.69E-06
AA>GA,24,85,13775613,1.74E-06,6.17E-06
AA>TA,37,144,13775613,2.69E-06,1.05E-05
AC>AA,11,312,6228852,1.77E-06,5.01E-05
AC>AG,16,27,6228852,2.57E-06,4.33E-06
AC>AT,142,112,6228852,2.28E-05,1.80E-05
AC>CC,10,24,6228852,1.61E-06,3.85E-06
AC>GC,21,35,6228852,3.37E-06,5.62E-06
AC>TC,10,54,6228852,1.61E-06,8.67E-06
AG>AA,176,306,7069045,2.49E-05,4.33E-05
AG>AC,14,38,7069045,1.98E-06,5.38E-06
AG>AT,20,88,7069045,2.83E-06,1.24E-05
AG>CG,8,16,7069045,1.13E-06,2.26E-06
AG>GG,22,53,7069045,3.11E-06,7.50E-06
AG>TG,17,87,7069045,2.40E-06,1.23E-05
AT>AA,29,176,10998968,2.64E-06,1.60E-05
AT>AC,62,49,10998968,5.64E-06,4.45E-06
AT>AG,17,34,10998968,1.55E-06,3.09E-06
AT>CT,15,32,10998968,1.36E-06,2.91E-06
AT>GT,53,61,10998968,4.82E-06,5.55E-06
AT>TT,30,217,10998968,2.73E-06,1.97E-05
CA>AA,20,478,7556040,2.65E-06,6.33E-05
CA>CC,13,25,7556040,1.72E-06,3.31E-06
CA>CG,21,60,7556040,2.78E-06,7.94E-06
CA>CT,12,96,7556040,1.59E-06,1.27E-05
CA>GA,19,30,7556040,2.51E-06,3.97E-06
CA>TA,131,175,7556040,1.73E-05,2.32E-05
CC>AC,4,77,4031850,9.92E-07,1.91E-05
CC>CA,15,122,4031850,3.72E-06,3.03E-05
CC>CG,13,18,4031850,3.22E-06,4.46E-06
CC>CT,110,120,4031850,2.73E-05,2.98E-05
CC>GC,8,16,4031850,1.98E-06,3.97E-06
CC>TC,120,105,4031850,2.98E-05,2.60E-05
CG>AG,3,38,2783857,1.08E-06,1.37E-05
CG>CA,103,90,2783857,3.70E-05,3.23E-05
CG>CC,7,13,2783857,2.51E-06,4.67E-06
CG>CT,4,41,2783857,1.44E-06,1.47E-05
CG>GG,6,15,2783857,2.16E-06,5.39E-06
CG>TG,97,101,2783857,3.48E-05,3.63E-05
CT>AT,27,71,7068460,3.82E-06,1.00E-05
CT>CA,20,76,7068460,2.83E-06,1.08E-05
CT>CC,23,47,7068460,3.25E-06,6.65E-06
CT>CG,13,25,7068460,1.84E-06,3.54E-06
CT>GT,17,33,7068460,2.41E-06,4.67E-06
CT>TT,184,313,7068460,2.60E-05,4.43E-05
GA>AA,223,382,7622269,2.93E-05,5.01E-05
GA>CA,14,26,7622269,1.84E-06,3.41E-06
GA>GC,6,15,7622269,7.87E-07,1.97E-06
GA>GG,23,54,7622269,3.02E-06,7.08E-06
GA>GT,13,89,7622269,1.71E-06,1.17E-05
GA>TA,17,126,7622269,2.23E-06,1.65E-05
GC>AC,79,89,3565695,2.22E-05,2.50E-05
GC>CC,8,18,3565695,2.24E-06,5.05E-06
GC>GA,6,78,3565695,1.68E-06,2.19E-05
GC>GG,6,16,3565695,1.68E-06,4.49E-06
GC>GT,63,107,3565695,1.77E-05,3.00E-05
GC>TC,10,64,3565695,2.80E-06,1.79E-05
GG>AG,106,89,4014076,2.64E-05,2.22E-05
GG>CG,12,21,4014076,2.99E-06,5.23E-06
GG>GA,111,96,4014076,2.77E-05,2.39E-05
GG>GC,7,17,4014076,1.74E-06,4.24E-06
GG>GT,8,71,4014076,1.99E-06,1.77E-05
GG>TG,13,95,4014076,3.24E-06,2.37E-05
GT>AT,140,116,6217386,2.25E-05,1.87E-05
GT>CT,12,31,6217386,1.93E-06,4.99E-06
GT>GA,12,62,6217386,1.93E-06,9.97E-06
GT>GC,22,43,6217386,3.54E-06,6.92E-06
GT>GG,7,22,6217386,1.13E-06,3.54E-06
GT>TT,11,203,6217386,1.77E-06,3.27E-05
TA>AA,44,212,9118553,4.83E-06,2.32E-05
TA>CA,50,44,9118553,5.48E-06,4.83E-06
TA>GA,12,40,9118553,1.32E-06,4.39E-06
TA>TC,15,32,9118553,1.64E-06,3.51E-06
TA>TG,37,45,9118553,4.06E-06,4.93E-06
TA>TT,34,219,9118553,3.73E-06,2.40E-05
TC>AC,7,77,7613817,9.19E-07,1.01E-05
TC>CC,28,38,7613817,3.68E-06,4.99E-06
TC>GC,6,15,7613817,7.88E-07,1.97E-06
TC>TA,22,152,7613817,2.89E-06,2.00E-05
TC>TG,15,33,7613817,1.97E-06,4.33E-06
TC>TT,217,355,7613817,2.85E-05,4.66E-05
TG>AG,15,75,7552440,1.99E-06,9.93E-06
TG>CG,26,43,7552440,3.44E-06,5.69E-06
TG>GG,13,22,7552440,1.72E-06,2.91E-06
TG>TA,158,184,7552440,2.09E-05,2.44E-05
TG>TC,18,28,7552440,2.38E-06,3.71E-06
TG>TT,19,288,7552440,2.52E-06,3.81E-05
TT>AT,38,83,13742861,2.77E-06,6.04E-06
TT>CT,38,74,13742861,2.77E-06,5.38E-06
TT>GT,26,42,13742861,1.89E-06,3.06E-06
TT>TA,43,133,13742861,3.13E-06,9.68E-06
TT>TC,35,60,13742861,2.55E-06,4.37E-06
TT>TG,20,38,13742861,1.46E-06,2.77E-06
