gene,CDS length,essentiality,SNV,InDel,lethal,Local CDS length,Local Intron length,Monroe CDS Count,Monroe intron Count,Weng CDS Count,Weng intron Count,Counts of AT homomeric runs (size >= 3bp) in CDS,Total length of AT homomeric runs (size >= 3bp) in CDS,Counts of AT homomeric runs (size >= 3bp) in intron,Total length of AT homomeric runs (size >= 3bp) in intron
AT1G01030,1077,MRP,0,0,Non-lethal,1077,161,0,0,0,0,36,114,11,50
AT1G01040,5895,ESN,0.00157027,0,Lethal,5733,1828,0,0,0,0,217,735,120,464
AT1G01060,3388,MRP,0,0,Non-lethal,1938,1471,0,0,0,0,73,249,96,345
AT1G01120,1587,MRP,0,0,Non-lethal,1587,0,0,0,0,0,53,169,0,0
AT1G01280,1533,MRP,0,0,Non-lethal,1533,83,0,0,0,0,50,172,7,25
AT1G01370,537,ESN,0,0,Lethal,537,1178,0,0,0,0,12,39,72,273
AT1G01460,1284,CND,0.000778816,0,Non-lethal,1284,991,0,0,0,0,43,146,58,217
AT1G01480,1637,MRP,0.002627628,0,Non-lethal,1491,699,0,0,0,0,61,207,36,168
AT1G01510,1911,MRP,0.001046572,0,Non-lethal,1911,691,0,0,0,0,46,157,36,127
AT1G01550,1050,ESN,0,0,Lethal,1050,677,0,0,0,0,29,105,48,179
AT1G01690,1350,MRP,0,0,Non-lethal,1350,1630,0,0,0,0,52,173,87,290
AT1G01860,1032,CND,0,0,Non-lethal,1032,805,0,0,0,0,31,106,41,143
AT1G01950,2962,MRP,0,0,Non-lethal,2748,2183,0,0,0,0,76,257,131,473
AT1G02050,1188,MRP,0,0,Non-lethal,1188,90,0,0,0,0,34,106,7,26
AT1G02065,1743,MRP,0.003442341,0.002294894,Non-lethal,1002,523,0,0,0,0,20,66,26,95
AT1G02090,976,MRP,0,0,Non-lethal,783,1307,0,0,0,0,16,56,60,217
AT1G02120,1797,MRP,0.001112966,0,Non-lethal,1797,2163,0,0,0,0,68,237,131,475
AT1G02140,453,ESN,0,0,Lethal,453,482,0,0,0,0,10,34,26,102
AT1G02205,2312,MRP,0.002326934,0,Non-lethal,1893,1444,0,0,0,0,42,139,83,301
AT1G02280,894,MRP,0,0,Non-lethal,894,790,0,0,0,0,34,114,46,161
AT1G02340,879,CND,0.005688282,0.002275313,Non-lethal,879,874,0,0,0,0,32,110,60,217
AT1G02560,897,ESN,0,0,Lethal,897,909,0,0,0,0,26,83,60,220
AT1G02580,2070,ESN,0,0,Lethal,2070,2129,0,0,0,0,76,260,158,602
AT1G02730,3546,MRP,0,0,Non-lethal,3546,231,0,0,0,0,108,349,17,62
AT1G02780,645,ESN,0,0,Lethal,645,627,0,0,0,0,13,41,39,140
AT1G02860,1108,CND,0.004975124,0.00199005,Non-lethal,1008,602,0,0,0,0,42,143,29,103
AT1G02910,1362,MRP,0,0,Non-lethal,1362,1015,0,0,0,0,51,173,71,257
AT1G02970,1503,CND,0.000665336,0,Non-lethal,1503,1217,0,0,0,0,56,183,79,285
AT1G03000,2826,MRP,0.001415428,0,Non-lethal,2826,1571,0,0,0,0,102,338,111,408
AT1G03060,10806,MRP,0.000555247,0,Non-lethal,10806,3115,0,0,0,0,392,1360,201,724
AT1G03160,3039,MRP,0,0,Non-lethal,2739,1994,0,0,0,0,98,320,100,359
AT1G03190,2277,ESN,0.000439174,0,Lethal,2277,1923,0,0,0,0,70,232,116,440
AT1G03310,2649,CLB,0.000377501,0,Non-lethal,2649,324,0,0,0,0,111,382,26,89
AT1G03360,969,ESN,0,0.001031992,Lethal,969,558,0,0,0,0,21,68,34,119
AT1G03790,1182,CND,0,0,Non-lethal,1182,0,0,0,0,0,39,127,0,0
AT1G04010,1902,MRP,0.001577287,0,Non-lethal,1902,2639,0,0,0,0,65,218,141,515
AT1G04020,2821,MRP,0,0,Non-lethal,2145,1291,0,0,0,0,73,246,77,273
AT1G04110,2328,CLB,0,0,Non-lethal,2328,0,0,0,0,0,76,248,0,0
AT1G04120,4770,MRP,0.000220386,0.000220386,Non-lethal,4545,1197,0,0,0,0,172,581,88,323
AT1G04220,1587,MRP,0.004410838,0,Non-lethal,1587,1044,0,0,0,0,55,181,65,273
AT1G04240,570,MRP,0,0,Non-lethal,570,186,0,0,0,0,20,63,12,44
AT1G04250,690,MRP,0,0,Non-lethal,690,1269,0,0,0,0,20,66,104,388
AT1G04400,1839,MRP,0.000543774,0,Non-lethal,1839,457,0,0,0,0,64,213,38,146
AT1G04635,456,ESN,0,0,Lethal,456,0,0,0,0,0,14,47,0,0
AT1G04820,1353,MRP,0,0,Non-lethal,1353,493,0,0,0,0,32,100,28,106
AT1G04870,1252,MRP,0,0,Non-lethal,1152,962,0,0,0,0,34,115,53,180
