gene,CDS length,essentiality,SNV,InDel,lethal,Local CDS length,Local Intron length,Monroe CDS Count,Monroe intron Count,Weng CDS Count,Weng intron Count,Monroe CDS SNM Count,Monroe intron SNM Count,Weng CDS SNM Count,Weng intron SNM Count,Monroe CDS INDEL Count,Monroe intron INDEL Count,Weng CDS INDEL Count,Weng intron INDEL Count
AT1G01030,1077,MRP,0,0,Non-lethal,1077,161,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01040,5895,ESN,0.00157027,0,Lethal,5733,1828,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01060,3388,MRP,0,0,Non-lethal,1938,1471,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,1587,MRP,0,0,Non-lethal,1587,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,1533,MRP,0,0,Non-lethal,1533,83,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01370,537,ESN,0,0,Lethal,537,1178,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01460,1284,CND,0.000778816,0,Non-lethal,1284,991,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01480,1637,MRP,0.002627628,0,Non-lethal,1491,699,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01510,1911,MRP,0.001046572,0,Non-lethal,1911,691,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01550,1050,ESN,0,0,Lethal,1050,677,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01690,1350,MRP,0,0,Non-lethal,1350,1630,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01860,1032,CND,0,0,Non-lethal,1032,805,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01950,2962,MRP,0,0,Non-lethal,2748,2183,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02050,1188,MRP,0,0,Non-lethal,1188,90,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02065,1743,MRP,0.003442341,0.002294894,Non-lethal,1002,523,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02090,976,MRP,0,0,Non-lethal,783,1307,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02120,1797,MRP,0.001112966,0,Non-lethal,1797,2163,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02140,453,ESN,0,0,Lethal,453,482,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02205,2312,MRP,0.002326934,0,Non-lethal,1893,1444,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02280,894,MRP,0,0,Non-lethal,894,790,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02340,879,CND,0.005688282,0.002275313,Non-lethal,879,874,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02560,897,ESN,0,0,Lethal,897,909,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02580,2070,ESN,0,0,Lethal,2070,2129,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02730,3546,MRP,0,0,Non-lethal,3546,231,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02780,645,ESN,0,0,Lethal,645,627,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02860,1108,CND,0.004975124,0.00199005,Non-lethal,1008,602,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02910,1362,MRP,0,0,Non-lethal,1362,1015,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02970,1503,CND,0.000665336,0,Non-lethal,1503,1217,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03000,2826,MRP,0.001415428,0,Non-lethal,2826,1571,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03060,10806,MRP,0.000555247,0,Non-lethal,10806,3115,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03160,3039,MRP,0,0,Non-lethal,2739,1994,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03190,2277,ESN,0.000439174,0,Lethal,2277,1923,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03310,2649,CLB,0.000377501,0,Non-lethal,2649,324,0,0,0,0,0,0,0,0,0,0,0,0
